D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\center_2017_07_24_18_47_43_258.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\left_2017_07_24_18_47_43_258.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\right_2017_07_24_18_47_43_258.jpg,0,1,0,30.18984
D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\center_2017_07_24_18_47_43_325.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\left_2017_07_24_18_47_43_325.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\right_2017_07_24_18_47_43_325.jpg,0,1,0,30.1903
D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\center_2017_07_24_18_47_43_394.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\left_2017_07_24_18_47_43_394.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\right_2017_07_24_18_47_43_394.jpg,0,1,0,30.19031
D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\center_2017_07_24_18_47_43_462.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\left_2017_07_24_18_47_43_462.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\right_2017_07_24_18_47_43_462.jpg,0,1,0,30.18999
D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\center_2017_07_24_18_47_43_530.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\left_2017_07_24_18_47_43_530.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\right_2017_07_24_18_47_43_530.jpg,0,1,0,30.19029
D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\center_2017_07_24_18_47_43_601.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\left_2017_07_24_18_47_43_601.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\right_2017_07_24_18_47_43_601.jpg,-0.1,1,0,30.18766
D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\center_2017_07_24_18_47_43_670.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\left_2017_07_24_18_47_43_670.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\right_2017_07_24_18_47_43_670.jpg,-0.25,1,0,30.17473
D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\center_2017_07_24_18_47_43_737.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\left_2017_07_24_18_47_43_737.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\right_2017_07_24_18_47_43_737.jpg,-0.1652253,1,0,30.18822
D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\center_2017_07_24_18_47_43_806.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\left_2017_07_24_18_47_43_806.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\right_2017_07_24_18_47_43_806.jpg,0,1,0,30.18884
D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\center_2017_07_24_18_47_43_873.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\left_2017_07_24_18_47_43_873.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\right_2017_07_24_18_47_43_873.jpg,-0.05,1,0,30.19016
D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\center_2017_07_24_18_47_43_940.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\left_2017_07_24_18_47_43_940.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\right_2017_07_24_18_47_43_940.jpg,-0.2262209,1,0,30.1807
D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\center_2017_07_24_18_47_44_009.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\left_2017_07_24_18_47_44_009.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\right_2017_07_24_18_47_44_009.jpg,-0.04213447,1,0,30.19076
D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\center_2017_07_24_18_47_44_078.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\left_2017_07_24_18_47_44_078.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\right_2017_07_24_18_47_44_078.jpg,0,1,0,30.18988
D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\center_2017_07_24_18_47_44_145.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\left_2017_07_24_18_47_44_145.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\right_2017_07_24_18_47_44_145.jpg,0,1,0,30.19015
D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\center_2017_07_24_18_47_44_214.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\left_2017_07_24_18_47_44_214.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\right_2017_07_24_18_47_44_214.jpg,0,1,0,30.19032
D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\center_2017_07_24_18_47_44_282.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\left_2017_07_24_18_47_44_282.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\right_2017_07_24_18_47_44_282.jpg,-0.1,1,0,30.18819
D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\center_2017_07_24_18_47_44_351.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\left_2017_07_24_18_47_44_351.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\right_2017_07_24_18_47_44_351.jpg,-0.1808899,1,0,30.18257
D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\center_2017_07_24_18_47_44_419.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\left_2017_07_24_18_47_44_419.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\right_2017_07_24_18_47_44_419.jpg,0,1,0,30.18963
D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\center_2017_07_24_18_47_44_488.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\left_2017_07_24_18_47_44_488.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\right_2017_07_24_18_47_44_488.jpg,0,1,0,30.19015
D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\center_2017_07_24_18_47_44_558.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\left_2017_07_24_18_47_44_558.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\right_2017_07_24_18_47_44_558.jpg,0,1,0,30.19024
D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\center_2017_07_24_18_47_44_625.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\left_2017_07_24_18_47_44_625.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\right_2017_07_24_18_47_44_625.jpg,-0.2,1,0,30.18104
D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\center_2017_07_24_18_47_44_693.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\left_2017_07_24_18_47_44_693.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\right_2017_07_24_18_47_44_693.jpg,-0.1855916,1,0,30.18526
D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\center_2017_07_24_18_47_44_761.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\left_2017_07_24_18_47_44_761.jpg,D:\Udacity\SelfDrivingCarEngineer\behavioralcloning\IMG\right_2017_07_24_18_47_44_761.jpg,0,1,0,30.18909
